epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,9982.09,0.66348,0.32317,0.79317,0.92867,0.88819,0.94879,0.71625,0.69876,0.33712,0.80184,0.0010405,0.0010405,0.0010405
183,10036.8,0.66197,0.32267,0.79331,0.92942,0.88791,0.94886,0.71603,0.69864,0.33719,0.80184,0.000991,0.000991,0.000991
184,10091.4,0.65448,0.31893,0.79061,0.92898,0.88845,0.94881,0.71641,0.6987,0.33729,0.80183,0.0009415,0.0009415,0.0009415
185,10146.1,0.6691,0.32519,0.78999,0.92889,0.88851,0.94883,0.71627,0.69905,0.3372,0.80182,0.000892,0.000892,0.000892
186,10200.8,0.66265,0.32272,0.79163,0.92741,0.89021,0.9489,0.71612,0.69896,0.33715,0.80185,0.0008425,0.0008425,0.0008425
187,10255.9,0.65351,0.31903,0.79349,0.92828,0.88906,0.94893,0.71627,0.69911,0.33714,0.80187,0.000793,0.000793,0.000793
188,10310.8,0.65756,0.3191,0.7931,0.92831,0.8892,0.94893,0.71607,0.69942,0.33702,0.80185,0.0007435,0.0007435,0.0007435
189,10365.3,0.65646,0.31644,0.79262,0.92812,0.88997,0.94899,0.71615,0.69923,0.33701,0.80183,0.000694,0.000694,0.000694
190,10419.9,0.64814,0.31248,0.79388,0.92804,0.88995,0.94908,0.71672,0.69948,0.33714,0.80184,0.0006445,0.0006445,0.0006445
191,10476.3,0.63908,0.30317,0.79129,0.92829,0.89004,0.94905,0.71625,0.69928,0.33699,0.80182,0.000595,0.000595,0.000595
192,10530.3,0.63542,0.30247,0.79017,0.92844,0.88936,0.94904,0.71654,0.69954,0.33725,0.80183,0.0005455,0.0005455,0.0005455
193,10584.3,0.63337,0.29987,0.7901,0.92934,0.88858,0.94908,0.71607,0.69957,0.33721,0.80182,0.000496,0.000496,0.000496
194,10638.7,0.62915,0.29606,0.79256,0.92951,0.88805,0.94908,0.71579,0.69955,0.33741,0.80181,0.0004465,0.0004465,0.0004465
195,10692.5,0.62927,0.2964,0.79041,0.93019,0.88725,0.94915,0.71615,0.7,0.33739,0.8018,0.000397,0.000397,0.000397
196,10746.4,0.62795,0.29776,0.78818,0.93383,0.88589,0.94921,0.71576,0.69998,0.33747,0.8018,0.0003475,0.0003475,0.0003475
197,10800.4,0.62734,0.29685,0.78898,0.93431,0.88573,0.94932,0.71658,0.70036,0.33774,0.80175,0.000298,0.000298,0.000298
198,10854.6,0.62265,0.29423,0.78921,0.93454,0.88573,0.94931,0.7161,0.70033,0.33763,0.80175,0.0002485,0.0002485,0.0002485
199,10908.5,0.61664,0.29187,0.78768,0.93521,0.88567,0.94947,0.71559,0.70043,0.33768,0.80173,0.000199,0.000199,0.000199
200,10962.4,0.61989,0.28981,0.79081,0.93487,0.88573,0.94945,0.71576,0.70054,0.33773,0.80175,0.0001495,0.0001495,0.0001495
