epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2363.6,0.84719,0.45628,0.81453,0.91317,0.87283,0.92874,0.66012,0.7643,0.40354,0.81347,0.007921,0.007921,0.007921
44,2418.49,0.83811,0.45709,0.81194,0.90387,0.86748,0.92274,0.65226,0.76188,0.40823,0.81276,0.0078715,0.0078715,0.0078715
45,2473.44,0.85227,0.45637,0.81549,0.90469,0.86559,0.9275,0.65955,0.76037,0.40619,0.81274,0.007822,0.007822,0.007822
46,2528.16,0.83263,0.45297,0.81204,0.909,0.87108,0.92843,0.66668,0.75693,0.3976,0.81305,0.0077725,0.0077725,0.0077725
47,2583.61,0.82927,0.44398,0.81154,0.90518,0.86667,0.92674,0.66206,0.75742,0.40425,0.81317,0.007723,0.007723,0.007723
48,2638.31,0.84423,0.4541,0.81172,0.90868,0.88401,0.93111,0.66753,0.75237,0.39969,0.81196,0.0076735,0.0076735,0.0076735
49,2693.3,0.83316,0.4528,0.81292,0.91936,0.86151,0.92933,0.66663,0.75326,0.39704,0.81124,0.007624,0.007624,0.007624
50,2748.09,0.82228,0.44321,0.81172,0.91126,0.87067,0.9281,0.66705,0.75025,0.39719,0.81051,0.0075745,0.0075745,0.0075745
51,2803.21,0.83817,0.44849,0.81215,0.9096,0.87313,0.92964,0.66381,0.74664,0.39833,0.81028,0.007525,0.007525,0.007525
52,2857.86,0.83256,0.4471,0.81251,0.90231,0.88272,0.93232,0.67062,0.75,0.39132,0.81132,0.0074755,0.0074755,0.0074755
53,2912.75,0.82908,0.44583,0.81238,0.91473,0.87346,0.93325,0.67218,0.74491,0.39004,0.81056,0.007426,0.007426,0.007426
54,2967.46,0.83764,0.4512,0.80988,0.90467,0.87849,0.93237,0.66856,0.75598,0.39481,0.81176,0.0073765,0.0073765,0.0073765
55,3022.15,0.83468,0.44758,0.81384,0.91262,0.8727,0.93179,0.6722,0.74328,0.38943,0.80989,0.007327,0.007327,0.007327
56,3076.67,0.82095,0.44142,0.81311,0.8968,0.88495,0.93339,0.67217,0.74309,0.3905,0.81104,0.0072775,0.0072775,0.0072775
57,3131.72,0.82833,0.44396,0.8138,0.91097,0.88201,0.93273,0.66855,0.74498,0.39,0.81117,0.007228,0.007228,0.007228
58,3186.51,0.83182,0.44465,0.811,0.91679,0.86812,0.93231,0.66912,0.74567,0.39188,0.8111,0.0071785,0.0071785,0.0071785
59,3241.15,0.81364,0.4308,0.81208,0.91743,0.87788,0.93652,0.67672,0.74256,0.38295,0.81004,0.007129,0.007129,0.007129
